pf_log,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence,DC1,PC2,SC4
-0.474,800,8.090510191,18.72019502,171.5,6,676498.025,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,13.78318129,0.694285016,1537.852532
-0.455,900,4.245782373,12.586,185,12,2290076.89,4410000,9,2.25,0,0,5500,9,3,0,-1.4,3.31,2,12.353436,1.000189,1175.219027
-0.442,900,6.055751177,14.26019502,190.5,6,488670.9025,2560000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.95463606,0.276843052,1435.606058
-0.442,800,2.355668427,12.3165,166.5,2,1594128.458,13322500,1,1,0,0,8000,2,2,0,-2.4,2.29,2,12.94109206,1,1766.431524
-0.374,900,6.05014633,13.29519502,197,6,404814.0625,640000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.96531678,0.069210763,1460.418018
-0.365,900,5.7166201,14.80519502,185.5,6,556068.49,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,13.45524111,0.675886357,1407.172255
-0.208,900,6.819963595,12.98519502,188,8,346332.25,5062500,1,1,0,0,6500,5,5,0,0.377,3.46,2,12.18699108,0.676199126,1383.629038
-0.188,900,4.553779458,21.3625,163,24,1079991,16875,0,0.1875,0.1875,0.1875,1500,1,1,1,1.302,4.09,1,15.01038876,0.009114478,954.3881516
-0.173,600,4.406028855,14.349,245,2,187744.557,5062500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,5.631000059,1,14.61144816,0.257007698,1177.658267
-0.066,700,5.969066765,11.25801001,197.5,14,3436574.44,16810000,16,2.25,0,0,9500,11,3,0,-1.4,3.67,2,12.86897415,1,1478.542707
0.153,500,9.899554077,15.38519502,175.5,8,682771.69,6760000,1,1,0,0,6500,5,5,0,-1.4,3.46,2,14.05822872,1,1668.835965
0.155,900,5.150549586,11.429,196.5,12,50625,2102500,4,4,0,0,3400,8,4,0,0.426,3.23,2,13.66680695,0.927480781,3932.578714
0.172,500,5.742757452,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,11.92095198,1,1863.115682
0.206,900,7.889818782,12.075,191.5,8,214832.25,1822500,0,4,0.25,0.25,3200,4,4,1,1.05,2.7,1,14.29849111,0.423443309,1597.526649
0.248,800,6.709635892,14.80519502,185.5,6,556068.49,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,11.34365662,0.694285016,1464.844193
0.283,600,3.870625262,8.754,226.5,2,216839.2356,1518363.496,0,0,0,0,6000,1,0,1,0.471626,3.75,1,13.99425498,0.077082688,1301.565547
0.36,900,2.530430196,15.096,164.5,2,266844.5649,490000,0,0.25,0.25,0.25,2900,1,1,1,0.618049,3.49,1,15.07314742,0.08421982,950.1172608
0.383,800,4.553779458,21.3625,163,24,1079991,16875,0,0.1875,0.1875,0.1875,1500,1,1,1,1.302,4.09,1,14.77482268,0.010189294,963.0220231
0.387,900,6.949384388,8.6015,212,8,3010225,810000,16,0,0,0,3400,8,0,0,0.426,2.66,2,14.16803261,0.29469977,1133.949959
0.469,800,6.979307319,13.29519502,197,6,404814.0625,640000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.45690102,0.071094786,1524.677223
0.477,700,5.68673269,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,12.49613396,1,1536.871633
0.493,900,8.090510191,18.72019502,171.5,6,676498.025,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,14.01874737,0.675886357,1486.136048
0.511,900,5.742757452,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,13.09652531,1,1355.624939
0.571,500,6.514133851,7.614,278.5,2,1132521.64,6002500,0,0,0,0,6000,1,0,1,0.471626,4.08,1,12.6676976,1,1430.609818
0.572,900,5.96970124,8.427623128,214,12,2036329,9610000,9,2.25,0,0,9500,9,3,0,0.47,3.75,2,13.80423764,1,1230.991164
0.584,1000,6.055751177,14.26019502,190.5,6,488670.9025,2560000,4,4,0,0,6500,5,5,0,0.377,3.46,2,13.1653571,0.269696065,1387.342094
0.706,700,6.819963595,12.98519502,188,8,346332.25,5062500,1,1,0,0,6500,5,5,0,0.377,3.46,2,11.68436222,0.723565732,1524.919115
0.746,700,3.870625262,8.754,226.5,2,216839.2356,1518363.496,0,0,0,0,6000,1,0,1,0.471626,3.75,1,14.30255634,0.075991015,1202.419799
0.754,1000,5.7166201,14.80519502,185.5,6,556068.49,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,13.66596214,0.658437659,1361.034704
