,ID,pf_log,var:boiling_point,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:num_unfilled,min:electron_affinity,min:lattice_constant
73,mp-684580,4.281593855,1027689.063,0.25,0.25,0.25,1,1.302,4.09
74,mp-632319,2.113768984,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
75,mp-614603,4.626937862,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
76,mp-573697,5.566753266,127092.25,0.25,0.25,0.25,1,0.471626,6.05
77,mp-571222,6.179166191,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
78,mp-571102,-0.37433376,404814.0625,4.0,0.0,0.0,5,0.377,3.46
79,mp-570276,0.38746593,3010225.0,0.0,0.0,0.0,8,0.426,2.66
80,mp-569639,-0.364827852,556068.49,4.0,0.0,0.0,5,0.377,3.46
81,mp-568560,-0.442063613,488670.9025,4.0,0.0,0.0,5,0.377,3.46
82,mp-505366,4.950858796,1888013.403,0.25,0.25,0.25,1,2.30863,4.08
83,mp-422,1.01309884,1594128.458,1.0,0.0,0.0,2,-2.4,2.29
84,mp-343,4.037349013,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
85,mp-2857,-0.455188877,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
86,mp-2667,2.462800085,1132521.64,0.0,0.0,0.0,1,0.471626,4.08
87,mp-2612,8.201636879,846400.0,1.0,0.0,0.0,4,1.232712,4.45
88,mp-2599,5.623570452,2662771.24,2.25,0.0,0.0,10,-1.4,3.66
89,mp-256,3.548184036,3335371.69,2.25,0.0,0.0,9,-1.4,3.75
90,mp-2534,5.589284292,810000.0,1.0,0.0,0.0,5,0.43,4.13
91,mp-252,5.412893497,980100.0,1.0,0.0,0.0,2,-2.4,2.29
92,mp-2490,5.863605925,1126782.25,1.0,0.0,0.0,5,0.43,4.51
93,mp-24721,4.549360127,221238.5296,0.0,0.0,0.0,1,0.48592,3.75
94,mp-23703,6.995832862,301329.6342,0.0,0.0,0.0,1,0.618049,3.49
95,mp-23303,6.052898409,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
96,mp-23302,6.472888676,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
97,mp-23299,5.838198469,130465.44,0.25,0.25,0.25,1,0.48592,5.59
98,mp-23295,5.672169265,130465.44,0.25,0.25,0.25,1,0.48592,5.59
99,mp-23231,6.723914689,1158959.903,0.25,0.25,0.25,1,1.302,4.09
100,mp-23197,1.837166531,404814.0625,4.0,0.0,0.0,5,0.377,3.46
101,mp-23167,1.13081228,556068.49,4.0,0.0,0.0,5,0.377,3.46
102,mp-22925,4.446457743,1027689.063,0.25,0.25,0.25,1,1.302,4.09
103,mp-22922,6.785209314,1261578.24,0.25,0.25,0.25,1,1.302,4.09
104,mp-22906,6.370132941,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
105,mp-22903,5.581032508,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
106,mp-22899,6.372754945,109114.6056,0.25,0.25,0.25,1,0.618049,3.49
107,mp-22875,1.844683206,488670.9025,4.0,0.0,0.0,5,0.377,3.46
108,mp-22867,4.7513501,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
109,mp-22865,6.051946526,127092.25,0.25,0.25,0.25,1,0.471626,6.05
110,mp-2175,0.492512863,676498.025,4.0,0.0,0.0,5,0.377,3.46
111,mp-2114,0.511067053,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
112,mp-20411,5.437953593,1294588.84,1.0,0.0,0.0,5,-1.4,4.039
113,mp-20351,5.774275559,810000.0,1.0,0.0,0.0,5,0.3,4.59
114,mp-20305,5.486427125,545382.25,1.0,0.0,0.0,5,0.3,4.13
115,mp-18536,-0.188480524,1079991.0,0.1875,0.1875,0.1875,1,1.302,4.09
116,mp-1784,7.746808101,187744.557,0.25,0.25,0.25,1,0.471626,5.631000059
117,mp-13099,2.890805027,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
118,mp-1219182,5.757553335,56406.25,0.0,0.0,0.0,4,1.232712,5.43
119,mp-1172873,6.336073254,846400.0,1.0,0.0,0.0,4,1.232712,4.45
120,mp-1156,4.303734692,147456.0,1.0,0.0,0.0,5,0.43,4.51
