,ID,pf_log,T,density,ave:atomic_radius,ave:covalent_radius_pyykko_double,ave:electron_affinity,ave:en_allen,ave:num_unfilled,ave:num_f_valence,ave:num_s_unfilled,ave:num_s_valence,ave:vdw_radius,ave:vdw_radius_mm3,sum:num_unfilled,sum:num_f_valence,var:atomic_radius_rahm,var:boiling_point,var:covalent_radius_pyykko_triple,var:gs_energy,var:hhi_p,var:num_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_s_unfilled,min:covalent_radius_pyykko_double,min:covalent_radius_pyykko_triple,min:electron_affinity,min:gs_bandgap,min:lattice_constant,min:num_s_valence
18,mp-2857,-4.195707988,1000,4.245782373,127.0,88.0,-0.606,12.586,6.0,0.0,0.0,2.0,185.0,227.0,12,0,1764.0,2290076.89,900.0,0.927299781,4410000.0,9.0,0.0,2.25,0.0,0.0,5500.0,9,0,3,0,60.0,54.0,-1.4,0.0,3.31,2
19,mp-2667,2.651187199,1000,6.514133851,206.5,165.0,1.390128,7.614,1.0,7.0,1.0,1.0,278.5,293.5,2,14,132.25,1132521.64,228.191506,1.386584143,6002500.0,0.0,49.0,0.0,0.0,0.0,6000.0,1,14,0,1,121.0,123.0,0.471626,0.0,4.08,1
20,mp-2612,8.401037168,1000,6.131196697,148.5,119.5,1.601794,12.28,3.0,0.0,0.0,2.0,208.5,244.0,6,0,16.0,846400.0,12.25,0.543712333,1440000.0,1.0,0.0,1.0,0.0,0.0,5300.0,4,0,4,0,111.0,114.0,1.232712,0.383,4.45,2
21,mp-2599,6.075962257,1000,7.627429946,137.0,98.5,0.258,11.26365188,6.5,2.0,0.0,2.0,197.0,233.0,13,4,2756.25,2662771.24,1724.636603,2.974055233,16810000.0,12.25,4.0,2.25,0.0,0.0,9500.0,10,4,3,0,60.0,54.0,-1.4,0.0,3.66,2
22,mp-256,4.234115302,1000,6.786981166,139.5,99.5,-0.465,10.95262313,6.0,0.0,0.0,2.0,199.0,235.5,12,0,2756.25,3335371.69,1806.25,2.695991634,16810000.0,9.0,0.0,2.25,0.0,0.0,9500.0,9,0,3,0,60.0,54.0,-1.4,0.0,3.75,2
23,mp-2534,5.596482922,1000,5.053200624,140.0,115.5,0.617,11.735,4.0,0.0,0.0,2.0,186.0,241.0,8,0,1.0,810000.0,56.25,0.671280192,1210000.0,1.0,0.0,1.0,0.0,0.0,5500.0,5,0,5,0,114.0,106.0,0.43,0.0,4.13,2
24,mp-252,5.743352129,1000,4.985107254,136.0,109.0,-0.214562,11.0415,1.0,0.0,0.0,2.0,179.5,233.5,2,0,132.25,980100.0,324.0,0.094168027,6502500.0,1.0,0.0,1.0,0.0,0.0,8000.0,2,0,2,0,90.0,85.0,-2.4,0.0,2.29,2
25,mp-2490,6.125942697,1000,4.006314015,134.5,109.5,0.5883035,11.86,4.0,0.0,0.0,2.0,183.5,234.0,8,0,25.0,1126782.25,182.25,1.425938982,3062500.0,1.0,0.0,1.0,0.0,0.0,5500.0,5,0,5,0,102.0,94.0,0.43,0.0,4.51,2
26,mp-24721,5.190729822,1000,2.610597083,163.5,156.7099663,0.6200575,8.8935,1.0,0.0,1.0,1.0,206.5,243.5,2,0,1849.0,221238.5296,196.5639078,1.401803597,1518363.496,0.0,0.0,0.0,0.0,0.0,6000.0,1,0,0,1,111.4199326,113.1059062,0.48592,0.0,3.75,1
27,mp-23703,7.272935717,1000,0.824862689,117.0,117.7099663,0.686122,9.501,1.0,0.0,1.0,1.0,146.0,208.5,2,0,1089.0,301329.6342,1.580733835,0.533925307,100984.8072,0.0,0.0,0.0,0.0,0.0,3535.562136,1,0,0,1,111.4199326,110.5913614,0.618049,0.0,3.49,1
28,mp-23303,6.347863324,1000,3.701679718,202.7776541,155.5,1.9247541,10.0285,1.0,0.0,0.5,1.5,244.0,273.5,2,0,110.25,98941.7025,242.520764,0.096004021,1822500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,109.0,110.0,0.48592,0.0,5.59,1
29,mp-23302,6.790594545,1000,3.902306055,199.3697957,165.5,1.7724784,9.0635,1.0,0.0,0.5,1.5,250.5,280.5,2,0,1.0,63378.0625,65.17459131,0.073459265,302500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,129.0,125.0,0.48592,0.0,5.59,1
30,mp-23299,6.140565427,1000,3.145937604,197.6769087,148.5,2.0493225,10.5735,1.0,0.0,0.5,1.5,239.0,266.0,2,0,289.0,130465.44,579.5130931,0.168550781,5062500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,95.0,93.0,0.48592,0.0,5.59,1
31,mp-23295,5.739210015,1000,2.671979177,197.6769087,148.5,2.0493225,10.5735,1.0,0.0,0.5,1.5,239.0,266.0,2,0,289.0,130465.44,579.5130931,0.168550781,5062500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,95.0,93.0,0.48592,0.0,5.59,1
32,mp-23231,7.048244698,1000,6.224582901,150.7776541,124.0,2.3327941,13.465,1.0,0.0,0.5,1.5,198.0,232.5,2,0,9.0,1158959.903,182.25,0.349498653,1102500.0,0.0,0.0,0.25,0.25,0.25,3300.0,1,0,1,1,109.0,110.0,1.302,0.0,4.09,1
33,mp-23197,2.693524216,1000,6.979307319,160.8697957,135.5,1.7180184,13.29519502,3.0,7.0,0.0,2.0,197.0,247.5,6,14,4.0,404814.0625,156.25,0.147177774,640000.0,4.0,49.0,4.0,0.0,0.0,6500.0,5,14,5,0,129.0,125.0,0.377,0.0,3.46,2
34,mp-23167,2.209501423,1000,6.709635892,159.1769087,118.5,1.9948625,14.80519502,3.0,7.0,0.0,2.0,185.5,233.0,6,14,324.0,556068.49,812.25,0.059595496,6250000.0,4.0,49.0,4.0,0.0,0.0,6500.0,5,14,5,0,95.0,93.0,0.377,0.0,3.46,2
35,mp-22925,4.869353136,1000,5.324385941,147.3697957,134.0,2.1805184,12.5,1.0,0.0,0.5,1.5,204.5,239.5,2,0,42.25,1027689.063,36.0,0.396894419,3422500.0,0.0,0.0,0.25,0.25,0.25,4900.0,1,0,1,1,129.0,125.0,1.302,0.0,4.09,1
36,mp-22922,7.103118268,1000,5.356180845,145.6769087,117.0,2.4573625,14.01,1.0,0.0,0.5,1.5,193.0,225.0,2,0,90.25,1261578.24,484.0,0.240570535,22500.0,0.0,0.0,0.25,0.25,0.25,1500.0,1,0,1,1,95.0,93.0,1.302,0.0,4.09,1
37,mp-22906,6.42675763,1000,4.168221274,212.2776541,159.0,1.9176071,9.889,1.0,0.0,0.5,1.5,264.0,283.0,2,0,225.0,96007.0225,466.8196222,0.132641231,1822500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,109.0,110.0,0.471626,0.0,6.05,1
38,mp-22903,5.673760252,1000,3.359968009,199.3697957,165.5,1.7724784,9.0635,1.0,0.0,0.5,1.5,250.5,280.5,2,0,1.0,63378.0625,65.17459131,0.073459265,302500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,129.0,125.0,0.48592,0.0,5.59,1
39,mp-22899,6.716281771,1000,4.06340629,152.8697957,126.5,1.8385429,9.671,1.0,0.0,0.5,1.5,190.0,245.5,2,0,81.0,109114.6056,51.90221657,0.033212236,1000000.0,0.0,0.0,0.25,0.25,0.25,4900.0,1,0,1,1,124.0,110.5913614,0.618049,0.0,3.49,1
40,mp-22875,2.985448528,1000,7.068918856,164.2776541,125.5,1.8702941,14.26019502,3.0,7.0,0.0,2.0,190.5,240.5,6,14,132.25,488670.9025,400.0,0.118905036,2560000.0,4.0,49.0,4.0,0.0,0.0,6500.0,5,14,5,0,109.0,110.0,0.377,0.0,3.46,2
41,mp-22867,4.983096861,1000,3.164377303,202.7776541,155.5,1.9247541,10.0285,1.0,0.0,0.5,1.5,244.0,273.5,2,0,110.25,98941.7025,242.520764,0.096004021,1822500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,109.0,110.0,0.48592,0.0,5.59,1
42,mp-22865,6.240985957,1000,3.749127576,207.1769087,152.0,2.0421755,10.434,1.0,0.0,0.5,1.5,259.0,275.5,2,0,462.25,127092.25,906.3717742,0.216135401,5062500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,95.0,93.0,0.471626,0.0,6.05,1
43,mp-2175,1.651287765,1000,8.090510191,152.5118071,100.5,1.88909485,18.72019502,3.0,7.0,0.0,2.0,171.5,215.0,6,14,1560.25,676498.025,2352.25,0.082546051,6250000.0,4.0,49.0,4.0,0.0,0.0,6500.0,5,14,5,0,59.0,53.0,0.377,0.0,3.46,2
44,mp-2114,-2.859577339,1000,5.742757452,135.0,95.0,-0.5465,12.3805,6.0,0.0,0.0,2.0,193.5,232.0,12,0,2256.25,3121582.24,1225.0,0.76286375,18062500.0,9.0,0.0,2.25,0.0,0.0,9800.0,9,0,3,0,60.0,54.0,-1.4,0.0,3.65,2
45,mp-20411,5.746351115,1000,6.628100894,129.0,98.0,-0.55,13.9615,4.0,0.0,0.0,2.0,174.0,228.5,8,0,1122.25,1294588.84,2116.0,7.685756103,1000000.0,1.0,0.0,1.0,0.0,0.0,3300.0,5,0,5,0,60.0,54.0,-1.4,0.0,4.039,2
46,mp-20351,6.04035339,1000,4.58162144,147.0,119.0,0.5233035,11.5615,4.0,0.0,0.0,2.0,186.5,243.0,8,0,132.25,810000.0,676.0,1.868288604,422500.0,1.0,0.0,1.0,0.0,0.0,3300.0,5,0,5,0,102.0,94.0,0.3,0.0,4.59,2
47,mp-20305,5.733246493,1000,5.335683812,152.5,125.0,0.552,11.4365,4.0,0.0,0.0,2.0,189.0,250.0,8,0,56.25,545382.25,400.0,0.98415046,0.0,1.0,0.0,1.0,0.0,0.0,3300.0,5,0,5,0,114.0,106.0,0.3,0.0,4.13,2
48,mp-18536,-0.741155037,1000,4.553779458,136.5177106,79.0,2.876392275,21.3625,1.0,0.0,0.25,1.75,163.0,189.0,24,0,720.75,1079991.0,1323.0,0.213599791,16875.0,0.0,0.0,0.1875,0.1875,0.1875,1500.0,1,0,1,1,59.0,53.0,1.302,0.0,4.09,1
49,mp-1784,8.332613242,1000,4.406028855,200.5118071,134.0,1.93640785,14.349,1.0,0.0,0.5,1.5,245.0,257.5,2,0,1849.0,187744.557,2510.612132,0.177845438,5062500.0,0.0,0.0,0.25,0.25,0.25,6000.0,1,0,1,1,59.0,53.0,0.471626,0.0,5.631000059,1
50,mp-13099,3.681975781,1000,4.60189752,135.0,95.0,-0.5465,12.3805,6.0,0.0,0.0,2.0,193.5,232.0,12,0,2256.25,3121582.24,1225.0,0.76286375,18062500.0,9.0,0.0,2.25,0.0,0.0,9800.0,9,0,3,0,60.0,54.0,-1.4,0.0,3.65,2
51,mp-1219182,5.92220181,1000,3.823847394,134.5,109.0,1.31111655,11.565,4.0,0.0,0.0,2.0,210.5,236.5,8,0,1.0,56406.25,36.0,0.163571091,90000.0,0.0,0.0,0.0,0.0,0.0,5300.0,4,0,4,0,107.0,102.0,1.232712,0.383,5.43,2
52,mp-1172873,6.638556523,1000,5.015197585,148.5,119.5,1.601794,12.28,3.0,0.0,0.0,2.0,208.5,244.0,6,0,16.0,846400.0,12.25,0.543712333,1440000.0,1.0,0.0,1.0,0.0,0.0,5300.0,4,0,4,0,111.0,114.0,1.232712,0.383,4.45,2
53,mp-1156,4.495900708,1000,5.287673764,150.0,125.0,0.738,11.065,4.0,0.0,0.0,2.0,196.5,249.0,8,0,42.25,147456.0,9.0,0.305315391,1440000.0,1.0,0.0,1.0,0.0,0.0,7900.0,5,0,5,0,117.0,121.0,0.43,0.0,4.51,2
