,elem1,elem2,elem3,elem4,comp1,comp2,comp3,comp4,melt_point
1027,In,Cl,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,465.2950744628906
1028,In,Br,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,421.19232177734375
1029,K,V,O,Vac,13.636363636363635,22.727272727272727,63.63636363636363,0.0,980.7657470703125
1030,K,Cd,O,Vac,40.0,20.0,40.0,0.0,1021.9281005859375
1031,K,I,O,Vac,26.666666666666668,13.333333333333334,60.0,0.0,807.889404296875
1032,Nb,Cl,O,Vac,20.0,60.0,20.0,0.0,425.7618408203125
1033,V,Br,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,294.411376953125
1034,Zn,Ge,O,Vac,15.384615384615385,23.076923076923077,61.53846153846154,0.0,1625.370849609375
1035,Bi,S,O,Vac,40.0,20.0,40.0,0.0,1033.7703857421875
1036,Co,H,O,Vac,25.0,25.0,50.0,0.0,399.841796875
1037,Rb,Sn,O,Vac,40.0,20.0,40.0,0.0,943.4571533203125
1038,Au,Se,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,577.7273559570312
1039,K,N,O,Vac,42.857142857142854,14.285714285714285,42.857142857142854,0.0,707.8045043945312
1040,La,Re,O,Vac,25.0,8.333333333333332,66.66666666666666,0.0,1178.4384765625
1041,Ba,P,O,Vac,57.14285714285714,28.57142857142857,14.285714285714285,0.0,1938.337158203125
1042,K,Br,O,Vac,60.0,20.0,20.0,0.0,895.3735961914062
1043,K,I,O,Vac,60.0,20.0,20.0,0.0,861.7633056640625
1044,Na,Re,O,Vac,33.33333333333333,11.11111111111111,55.55555555555556,0.0,920.7328491210938
1045,Mn,Cr,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,2027.6727294921875
1046,Ti,Fe,O,Vac,25.0,12.5,62.5,0.0,1656.3505859375
1047,La,H,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,909.5599975585938
1048,K,Cu,O,Vac,50.0,16.666666666666664,33.33333333333333,0.0,772.10546875
1049,Rb,Cd,O,Vac,40.0,20.0,40.0,0.0,1017.4209594726562
1050,Na,Au,O,Vac,50.0,16.666666666666664,33.33333333333333,0.0,704.0228881835938
1051,Mn,Br,O,Vac,36.58536585365854,14.634146341463413,48.78048780487805,0.0,549.4441528320312
1052,Rb,Li,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,865.99560546875
1053,Eu,Cl,O,Vac,36.36363636363637,54.54545454545454,9.090909090909092,0.0,1062.5115966796875
1054,Na,Cu,O,Vac,42.857142857142854,14.285714285714285,42.857142857142854,0.0,875.0484619140625
1055,Na,Br,O,Vac,57.14285714285714,28.57142857142857,14.285714285714285,0.0,977.2686767578125
1056,Na,Cl,O,Vac,60.0,20.0,20.0,0.0,1003.2172241210938
1057,La,S,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,2352.30517578125
1058,K,Br,O,Vac,57.14285714285714,28.57142857142857,14.285714285714285,0.0,891.25146484375
1059,O,Sr,Hg,Vac,50.0,25.0,25.0,0.0,1379.71044921875
1060,K,Fe,O,Vac,37.5,12.5,50.0,0.0,1106.9014892578125
1061,Na,Ir,O,Vac,44.44444444444444,11.11111111111111,44.44444444444444,0.0,1097.1875
1062,Ba,Au,O,Vac,39.130434782608695,8.695652173913043,52.17391304347826,0.0,1458.4200439453125
1063,Sr,Sn,O,Vac,20.0,20.0,60.0,0.0,2270.2421875
1064,Sr,Au,O,Vac,33.33333333333333,13.333333333333334,53.333333333333336,0.0,1737.4136962890625
1065,Na,Co,O,Vac,50.0,16.666666666666664,33.33333333333333,0.0,1161.4449462890625
1066,K,Co,O,Vac,50.0,16.666666666666664,33.33333333333333,0.0,1084.8887939453125
1067,La,Au,O,Vac,20.0,20.0,60.0,0.0,1476.340576171875
1068,Cd,O,F,Vac,36.36363636363637,9.090909090909092,54.54545454545454,0.0,812.7059936523438
1069,P,Rh,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,929.1259765625
1070,Ba,Ru,O,Vac,29.411764705882355,11.76470588235294,58.82352941176471,0.0,1572.4383544921875
1071,Ga,Te,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1175.7821044921875
1072,Cs,V,O,Vac,13.333333333333334,26.666666666666668,60.0,0.0,945.4369506835938
1073,Ca,Au,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1232.6064453125
1074,Rb,I,O,Vac,60.0,20.0,20.0,0.0,768.2263793945312
1075,V,Bi,O,Vac,12.0,24.0,64.0,0.0,1135.8583984375
1076,Li,Bi,O,Vac,20.0,20.0,60.0,0.0,1181.2215576171875
1077,La,Mo,O,Vac,27.27272727272727,9.090909090909092,63.63636363636363,0.0,1335.0986328125
1078,Cd,Ge,O,Vac,8.0,28.000000000000004,64.0,0.0,1466.3570556640625
1079,Ca,Sn,O,Vac,60.0,20.0,20.0,0.0,1558.2412109375
1080,Ba,Pb,O,Vac,60.0,20.0,20.0,0.0,1437.09912109375
1081,Bi,Pd,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,955.2673950195312
1082,P,Pd,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1060.8878173828125
1083,Pt,Pb,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,910.7684326171875
1084,P,W,O,Vac,14.285714285714285,14.285714285714285,71.42857142857143,0.0,1253.2430419921875
1085,Na,Tl,O,Vac,50.0,16.666666666666664,33.33333333333333,0.0,800.9762573242188
1086,Rb,Cl,O,Vac,54.54545454545454,36.36363636363637,9.090909090909092,0.0,794.867431640625
1087,Hg,Te,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,771.8153076171875
1088,Na,N,O,Vac,25.0,25.0,50.0,0.0,627.9163208007812
1089,Nb,Cl,O,Vac,27.27272727272727,9.090909090909092,63.63636363636363,0.0,588.2279052734375
1090,Ti,Nb,O,Vac,10.0,30.0,60.0,0.0,1903.147216796875
1091,Sr,Pd,O,Vac,36.36363636363637,9.090909090909092,54.54545454545454,0.0,1634.8173828125
1092,Bi,W,O,Vac,15.384615384615385,15.384615384615385,69.23076923076923,0.0,1370.6942138671875
1093,Ba,Pt,O,Vac,31.25,12.5,56.25,0.0,1661.9725341796875
1094,Ca,Nb,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1770.91162109375
1095,K,Bi,O,Vac,20.0,20.0,60.0,0.0,1084.6737060546875
1096,Ag,Hg,O,Vac,40.0,20.0,40.0,0.0,807.1878051757812
1097,Ba,Sb,O,Vac,50.0,33.33333333333333,16.666666666666664,0.0,1434.8802490234375
1098,Rb,Au,O,Vac,50.0,30.0,20.0,0.0,587.9497680664062
1099,Nb,Cl,O,Vac,30.0,50.0,20.0,0.0,497.27032470703125
1100,V,Re,O,Vac,8.333333333333332,16.666666666666664,75.0,0.0,672.7970581054688
1101,Cs,Sb,O,Vac,13.636363636363635,22.727272727272727,63.63636363636363,0.0,1362.1817626953125
1102,Cs,Cl,O,Vac,54.54545454545454,36.36363636363637,9.090909090909092,0.0,719.7722778320312
1103,Au,S,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,793.1776123046875
1104,Rb,Br,O,Vac,57.14285714285714,28.57142857142857,14.285714285714285,0.0,782.2449951171875
1105,Rb,Br,O,Vac,54.54545454545454,36.36363636363637,9.090909090909092,0.0,792.5499267578125
1106,Co,N,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,301.08941650390625
1107,Rb,Br,O,Vac,60.0,20.0,20.0,0.0,787.1674194335938
1108,Tl,Sb,O,Vac,20.0,20.0,60.0,0.0,880.0333251953125
1109,Pr,Se,O,Vac,36.36363636363637,27.27272727272727,36.36363636363637,0.0,2285.15966796875
1110,Rb,Co,O,Vac,50.0,16.666666666666664,33.33333333333333,0.0,1012.7911376953125
1111,Cr,Bi,O,Vac,8.695652173913043,26.08695652173913,65.21739130434783,0.0,1157.31982421875
1112,Y,Ag,O,Vac,25.0,25.0,50.0,0.0,1214.24560546875
1113,Hg,As,O,Vac,20.0,20.0,60.0,0.0,869.489501953125
1114,Na,Tl,O,Vac,25.0,25.0,50.0,0.0,872.8198852539062
1115,K,Ag,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,831.2776489257812
1116,Hg,S,O,Vac,30.0,10.0,60.0,0.0,977.988037109375
1117,Sr,Si,O,Vac,60.0,20.0,20.0,0.0,1790.4100341796875
1118,Sr,Ge,O,Vac,60.0,20.0,20.0,0.0,1628.99169921875
1119,Al,Cu,O,Vac,25.0,25.0,50.0,0.0,1633.6302490234375
1120,Hg,O,F,Vac,36.36363636363637,9.090909090909092,54.54545454545454,0.0,543.7583618164062
1121,Sr,Ti,O,Vac,23.52941176470588,17.647058823529413,58.82352941176471,0.0,2248.781005859375
1122,Pr,Os,O,Vac,27.27272727272727,9.090909090909092,63.63636363636363,0.0,1609.215087890625
1123,Sr,Tl,O,Vac,27.27272727272727,18.181818181818183,54.54545454545454,0.0,1427.27197265625
1124,La,Sb,O,Vac,7.6923076923076925,23.076923076923077,69.23076923076923,0.0,1925.7337646484375
1125,Ta,Co,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1755.574462890625
1126,Ba,Nb,Cr,O,20.0,10.0,10.0,60.0,1683.0430908203125
1127,Ba,Sn,O,Vac,20.0,20.0,60.0,0.0,2193.649658203125
1128,O,Cr,Ba,Ta,60.0,10.0,20.0,10.0,1746.095947265625
1129,Ta,Fe,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1731.6090087890625
1130,Ba,Ce,O,Vac,20.0,20.0,60.0,0.0,2318.666015625
1131,Zn,Sb,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,1620.6707763671875
1132,Mn,Nb,O,Vac,15.0,30.0,55.00000000000001,0.0,1704.260009765625
1133,Mn,Si,O,Vac,35.0,5.0,60.0,0.0,1575.2681884765625
1134,Hg,S,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1004.7764282226562
1135,W,O,Vac,Vac,25.0,75.0,0.0,0.0,1747.6737060546875
1136,W,O,Vac,Vac,25.0,75.0,0.0,0.0,1747.6737060546875
1137,Cs,N,O,Vac,25.0,25.0,50.0,0.0,714.9281005859375
1138,Li,Zn,O,Vac,43.47826086956522,17.391304347826086,39.130434782608695,0.0,1318.5126953125
1139,Ba,Ce,O,Vac,20.0,20.0,60.0,0.0,2318.666015625
1140,Sm,Rh,O,Vac,20.0,20.0,60.0,0.0,1346.2760009765625
1141,Mg,Rh,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1560.06787109375
1142,Mg,Fe,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,2027.3790283203125
1143,Sr,Ti,O,Vac,25.0,16.666666666666664,58.333333333333336,0.0,2290.034912109375
1144,Ba,Sn,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,2286.17138671875
1145,Nd,Au,O,Vac,26.666666666666668,13.333333333333334,60.0,0.0,1519.566650390625
1146,Cr,Sb,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1660.6607666015625
1147,Mg,Pt,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1721.2479248046875
1148,Cd,Ga,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1541.1580810546875
1149,Nb,Sb,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1667.7254638671875
1150,Mn,In,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1753.96826171875
1151,Zr,S,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,2382.636962890625
1152,Ga,Ni,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1883.1900634765625
1153,Na,Ag,O,Vac,50.0,16.666666666666664,33.33333333333333,0.0,728.1163330078125
1154,Hg,Te,O,Vac,30.0,10.0,60.0,0.0,831.2586669921875
1155,Fe,Ni,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1900.363037109375
1156,Zn,Pt,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1499.6470947265625
1157,Cu,O,Vac,Vac,66.66666666666666,33.33333333333333,0.0,0.0,1478.478759765625
1158,Nb,Sb,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1667.7254638671875
1159,K,Ta,O,Vac,20.0,20.0,60.0,0.0,1577.0623779296875
1160,Sc,Cu,O,Vac,25.0,25.0,50.0,0.0,1580.825927734375
1161,Mg,Sb,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,1766.697509765625
1162,Mn,Sn,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1715.6453857421875
1163,Na,Nb,O,Vac,25.0,25.0,50.0,0.0,1613.71875
1164,Al,Cu,O,Vac,25.0,25.0,50.0,0.0,1633.6302490234375
1165,Sr,Nb,O,Vac,4.3478260869565215,34.78260869565217,60.86956521739131,0.0,1925.2017822265625
1166,Hg,As,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,909.6679077148438
1167,Mg,Ga,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,2079.0390625
1168,Ti,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,1930.914306640625
1169,Ba,Hg,O,Vac,25.0,25.0,50.0,0.0,1129.7110595703125
1170,Cd,Ge,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1562.596435546875
1171,Li,Nb,O,Vac,25.0,25.0,50.0,0.0,1696.585693359375
1172,K,Cu,O,Vac,25.0,25.0,50.0,0.0,938.4757080078125
1173,Ca,Ti,O,Vac,20.0,20.0,60.0,0.0,2069.8740234375
1174,Sr,Sb,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,1829.3643798828125
1175,Ag,P,O,Vac,37.5,12.5,50.0,0.0,1052.983642578125
1176,Ba,Zn,O,Vac,25.0,25.0,50.0,0.0,1781.9888916015625
1177,Sr,Te,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1239.14453125
1178,Ga,Cu,O,Vac,25.0,25.0,50.0,0.0,1491.654541015625
1179,K,Nb,O,Vac,20.0,20.0,60.0,0.0,1493.2490234375
1180,Sr,Pd,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,1641.11962890625
1181,Rb,Au,O,Vac,60.0,20.0,20.0,0.0,517.7151489257812
1182,La,Se,O,Vac,36.36363636363637,27.27272727272727,36.36363636363637,0.0,2250.698486328125
1183,Cd,Si,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1614.810791015625
1184,La,Te,O,Vac,40.0,20.0,40.0,0.0,1871.1195068359375
1185,Nd,Rh,O,Vac,20.0,20.0,60.0,0.0,1322.7366943359375
1186,Tl,B,O,Vac,42.857142857142854,14.285714285714285,42.857142857142854,0.0,807.5827026367188
1187,Sr,Pt,O,Vac,36.36363636363637,9.090909090909092,54.54545454545454,0.0,2011.037353515625
1188,Sc,Cu,O,Vac,25.0,25.0,50.0,0.0,1580.825927734375
1189,Sr,Ti,O,Vac,20.0,20.0,60.0,0.0,2125.563232421875
1190,Sr,Tl,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1199.3033447265625
1191,Na,Ta,O,Vac,20.0,20.0,60.0,0.0,1658.8724365234375
1192,Na,Ta,O,Vac,20.0,20.0,60.0,0.0,1658.8724365234375
1193,Ge,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,1245.92724609375
1194,Pr,Se,O,Vac,40.0,20.0,40.0,0.0,2300.9833984375
1195,Pr,Rh,O,Vac,20.0,20.0,60.0,0.0,1317.2781982421875
1196,Gd,S,O,Vac,40.0,20.0,40.0,0.0,2388.853515625
1197,Ba,Ce,O,Vac,20.0,20.0,60.0,0.0,2318.666015625
1198,Na,Hg,O,Vac,40.0,20.0,40.0,0.0,785.62109375
1199,Li,Sb,O,Vac,20.0,20.0,60.0,0.0,1512.598388671875
1200,Mn,Co,O,Vac,23.076923076923077,15.384615384615385,61.53846153846154,0.0,1696.1190185546875
1201,In,H,O,Vac,25.0,25.0,50.0,0.0,386.02203369140625
1202,Os,O,F,Vac,14.285714285714285,14.285714285714285,71.42857142857143,0.0,339.6266784667969
1203,Y,In,O,Vac,20.0,20.0,60.0,0.0,2155.41796875
1204,K,Mn,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1091.5836181640625
1205,Rb,Cr,Fe,O,8.333333333333332,16.666666666666664,8.333333333333332,66.66666666666666,927.3079833984375
1206,Co,Se,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,888.139892578125
1207,Mn,Bi,O,Vac,25.0,12.5,62.5,0.0,1257.8218994140625
1208,Ni,Hg,O,F,18.181818181818183,18.181818181818183,9.090909090909092,54.54545454545454,487.5064392089844
1209,Ni,B,I,O,12.5,29.166666666666668,4.166666666666666,54.166666666666664,864.6204833984375
1210,K,Li,Pb,O,6.0606060606060606,42.42424242424242,9.090909090909092,42.42424242424242,1043.40087890625
1211,Rb,Li,Pb,O,6.0606060606060606,42.42424242424242,9.090909090909092,42.42424242424242,1039.23193359375
1212,Rb,Na,In,O,20.0,30.0,10.0,40.0,1026.1187744140625
1213,K,Na,Fe,O,14.285714285714285,28.57142857142857,14.285714285714285,42.857142857142854,1090.4129638671875
1214,In,Te,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1155.6630859375
1215,K,Pb,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,994.5176391601562
1216,K,Na,In,O,20.0,30.0,10.0,40.0,1021.5042724609375
1217,Ni,As,O,Vac,23.076923076923077,15.384615384615385,61.53846153846154,0.0,1560.2064208984375
1218,Rb,Mn,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1049.6539306640625
1219,Cs,Au,O,Vac,60.0,20.0,20.0,0.0,559.0076904296875
1220,Cs,Mn,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1021.8768310546875
1221,Eu,B,O,Vac,27.27272727272727,18.181818181818183,54.54545454545454,0.0,1680.5543212890625
1222,Mg,Nb,O,Vac,15.0,30.0,55.00000000000001,0.0,1867.840087890625
1223,Cr,Cu,O,Vac,25.0,25.0,50.0,0.0,1358.2315673828125
1224,Mn,In,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,1683.3236083984375
1225,Cs,Ba,Nb,O,6.25,12.5,18.75,62.5,1621.326904296875
1226,Rb,Hg,O,Vac,40.0,20.0,40.0,0.0,828.2894897460938
1227,Cs,Au,O,Vac,50.0,35.714285714285715,14.285714285714285,0.0,584.0056762695312
1228,Rb,Au,O,Vac,50.0,35.714285714285715,14.285714285714285,0.0,559.7453002929688
1229,Ho,Mn,O,Vac,12.5,25.0,62.5,0.0,1874.8897705078125
1230,Fe,Cu,O,Vac,25.0,25.0,50.0,0.0,1463.0633544921875
1231,Pb,Se,O,Vac,33.33333333333333,11.11111111111111,55.55555555555556,0.0,993.6405029296875
1232,Mn,V,Sb,O,11.11111111111111,11.11111111111111,11.11111111111111,66.66666666666666,1626.1822509765625
1233,K,Co,O,Vac,46.15384615384615,15.384615384615385,38.46153846153847,0.0,1142.533203125
1234,W,O,Vac,Vac,25.0,75.0,0.0,0.0,1747.6737060546875
1235,Rb,V,O,Vac,15.384615384615385,23.076923076923077,61.53846153846154,0.0,979.7128295898438
1236,Mo,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,1731.214111328125
1237,Y,Mn,O,Vac,12.5,25.0,62.5,0.0,1858.6978759765625
1238,Cr,Cu,O,Vac,25.0,25.0,50.0,0.0,1358.2315673828125
1239,Li,Fe,As,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,1507.44482421875
1240,V,As,O,Vac,14.285714285714285,14.285714285714285,71.42857142857143,0.0,864.509765625
1241,Li,Cu,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,1137.782958984375
1242,Zn,Rh,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1392.0853271484375
1243,La,Rh,O,Vac,20.0,20.0,60.0,0.0,1322.172119140625
1244,Na,In,O,Vac,25.0,25.0,50.0,0.0,1509.6767578125
1245,Sr,Ti,O,Vac,20.0,20.0,60.0,0.0,2125.563232421875
1246,K,Nb,O,Vac,20.0,20.0,60.0,0.0,1493.2490234375
1247,Ca,Al,O,Vac,20.33898305084746,23.728813559322035,55.932203389830505,0.0,2308.0537109375
1248,Li,Ga,O,Vac,7.142857142857142,35.714285714285715,57.14285714285714,0.0,1638.7108154296875
1249,Ca,P,O,Vac,57.14285714285714,28.57142857142857,14.285714285714285,0.0,2241.500732421875
1250,Fe,P,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1508.9053955078125
1251,V,Hg,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,891.9158935546875
1252,K,Pd,O,Vac,40.0,20.0,40.0,0.0,820.4712524414062
1253,Tl,Sn,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,978.905029296875
1254,K,I,O,Vac,33.33333333333333,11.11111111111111,55.55555555555556,0.0,934.5714111328125
1255,Ta,Mn,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1671.5936279296875
1256,Cs,Co,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,1115.7205810546875
1257,Sr,Tb,Fe,O,8.333333333333332,16.666666666666664,16.666666666666664,58.333333333333336,1971.2813720703125
1258,Ti,Mn,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1639.800537109375
1259,Fe,Cl,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,394.53741455078125
1260,Eu,B,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1378.090576171875
1261,Ba,Dy,Mn,O,11.11111111111111,22.22222222222222,11.11111111111111,55.55555555555556,2012.107666015625
1262,Cs,Cu,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,742.8218383789062
1263,Ba,Cr,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,2179.548828125
1264,Gd,V,O,Vac,20.0,20.0,60.0,0.0,1593.935546875
1265,Hg,Cl,O,Vac,58.333333333333336,16.666666666666664,25.0,0.0,526.0111694335938
1266,K,Na,Re,O,20.0,6.666666666666667,13.333333333333334,60.0,921.9202270507812
1267,K,V,Se,O,5.555555555555555,16.666666666666664,11.11111111111111,66.66666666666666,690.1134643554688
1268,V,Cd,Ag,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,803.9915161132812
1269,Ba,Yb,Ru,O,20.0,6.666666666666667,13.333333333333334,60.0,1454.1337890625
1270,Ba,V,Cu,O,9.090909090909092,18.181818181818183,9.090909090909092,63.63636363636363,1158.6043701171875
1271,K,Ag,C,O,16.666666666666664,16.666666666666664,16.666666666666664,50.0,615.6969604492188
1272,Sr,Fe,O,Vac,22.22222222222222,22.22222222222222,55.55555555555556,0.0,1987.740234375
1273,K,Cu,C,O,18.181818181818183,9.090909090909092,18.181818181818183,54.54545454545454,599.9751586914062
1274,Dy,Mn,O,Vac,20.0,20.0,60.0,0.0,1912.9710693359375
1275,Rb,Ru,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1006.9650268554688
1276,Na,Mn,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1200.8470458984375
1277,Tl,Te,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,713.274658203125
1278,K,Na,Cu,O,16.666666666666664,33.33333333333333,16.666666666666664,33.33333333333333,717.1563720703125
1279,Na,Ni,I,O,11.11111111111111,11.11111111111111,11.11111111111111,66.66666666666666,749.1978149414062
1280,K,V,S,O,8.333333333333332,8.333333333333332,16.666666666666664,66.66666666666666,661.5239868164062
1281,Gd,Zn,P,O,25.0,25.0,25.0,25.0,1681.3328857421875
1282,Nd,Bi,Cl,O,12.5,25.0,12.5,50.0,1332.3314208984375
1283,Ba,Bi,Sb,O,20.0,10.0,10.0,60.0,1345.81982421875
1284,Ba,Dy,Bi,O,20.0,10.0,10.0,60.0,1758.341064453125
1285,W,O,Vac,Vac,25.0,75.0,0.0,0.0,1747.6737060546875
1286,Pr,Bi,I,O,12.5,25.0,12.5,50.0,1109.8419189453125
1287,Ba,Nd,Ru,O,20.0,10.0,10.0,60.0,1403.4515380859375
1288,Ba,Zn,N,O,42.857142857142854,14.285714285714285,28.57142857142857,14.285714285714285,745.4799194335938
1289,Sn,O,Vac,Vac,50.0,50.0,0.0,0.0,1238.4775390625
1290,Lu,Bi,Br,O,12.5,25.0,12.5,50.0,1228.505615234375
1291,Nd,Te,O,Vac,40.0,20.0,40.0,0.0,1932.1806640625
1292,Ag,Sb,O,Vac,20.0,20.0,60.0,0.0,963.2002563476562
1293,Y,Zn,As,O,25.0,25.0,25.0,25.0,1594.4007568359375
1294,Tm,Bi,Cl,O,12.5,25.0,12.5,50.0,1335.885986328125
1295,Sm,Bi,Cl,O,12.5,25.0,12.5,50.0,1275.910888671875
1296,Dy,Bi,I,O,12.5,25.0,12.5,50.0,1127.628662109375
1297,Tm,Bi,Br,O,12.5,25.0,12.5,50.0,1242.9278564453125
1298,Er,Bi,Br,O,12.5,25.0,12.5,50.0,1239.9454345703125
1299,Ho,Bi,Br,O,12.5,25.0,12.5,50.0,1230.17822265625
1300,La,Bi,I,O,12.5,25.0,12.5,50.0,1057.1187744140625
1301,La,Cu,Te,O,25.0,25.0,25.0,25.0,1180.4949951171875
1302,Co,Rh,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1541.0130615234375
1303,Tb,Bi,Cl,O,12.5,25.0,12.5,50.0,1303.73486328125
1304,Nb,Cd,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,1707.1004638671875
1305,Tl,Pd,O,Vac,12.5,37.5,50.0,0.0,914.417236328125
1306,Ba,Zn,S,O,25.0,25.0,25.0,25.0,1579.961669921875
1307,Li,In,O,Vac,25.0,25.0,50.0,0.0,1645.96435546875
1308,Ho,Bi,Cl,O,12.5,25.0,12.5,50.0,1351.988525390625
1309,In,Cu,O,Vac,25.0,25.0,50.0,0.0,1511.30859375
1310,Nd,Bi,I,O,12.5,25.0,12.5,50.0,1094.5079345703125
1311,Tb,Bi,Br,O,12.5,25.0,12.5,50.0,1131.050537109375
1312,La,Zn,As,O,25.0,25.0,25.0,25.0,1390.708740234375
1313,Gd,Bi,Cl,O,12.5,25.0,12.5,50.0,1298.1556396484375
1314,Rb,Ge,I,O,11.11111111111111,11.11111111111111,11.11111111111111,66.66666666666666,649.1943359375
1315,Er,Bi,Cl,O,12.5,25.0,12.5,50.0,1353.2242431640625
1316,Dy,Zn,P,O,25.0,25.0,25.0,25.0,1684.15234375
1317,Sm,Bi,Br,O,12.5,25.0,12.5,50.0,1151.93701171875
1318,Sm,Se,O,Vac,36.36363636363637,27.27272727272727,36.36363636363637,0.0,2270.648193359375
1319,Sn,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,2209.148193359375
1320,Lu,Bi,I,O,12.5,25.0,12.5,50.0,1136.4117431640625
1321,Lu,Bi,Cl,O,12.5,25.0,12.5,50.0,1353.2939453125
1322,Sm,Zn,P,O,25.0,25.0,25.0,25.0,1571.3878173828125
1323,K,Ni,I,O,11.11111111111111,11.11111111111111,11.11111111111111,66.66666666666666,750.13671875
1324,Ho,Bi,I,O,12.5,25.0,12.5,50.0,1136.8125
1325,Cs,K,Co,O,16.666666666666664,33.33333333333333,16.666666666666664,33.33333333333333,854.8428955078125
1326,Er,Bi,I,O,12.5,25.0,12.5,50.0,1150.849853515625
