,elem1,elem2,elem3,elem4,comp1,comp2,comp3,comp4,melt_point
804,W,O,Vac,Vac,25.0,75.0,0.0,0.0,1747.6737060546875
805,Er,Mn,O,Vac,12.5,25.0,62.5,0.0,1876.2613525390625
806,Na,Fe,O,Vac,25.0,25.0,50.0,0.0,1450.717041015625
807,Lu,Cr,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,2023.02197265625
808,K,Fe,Mo,O,8.333333333333332,8.333333333333332,16.666666666666664,66.66666666666666,1023.92578125
809,Cr,Ag,O,Vac,25.0,25.0,50.0,0.0,817.4712524414062
810,Co,S,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1069.489013671875
811,Cr,Hg,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,852.9800415039062
812,Ti,Mn,P,O,11.428571428571429,2.857142857142857,17.142857142857142,68.57142857142857,1574.4853515625
813,Ni,As,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,1398.3524169921875
814,W,O,Vac,Vac,25.0,75.0,0.0,0.0,1747.6737060546875
815,Nd,Mn,O,Vac,12.5,25.0,62.5,0.0,1881.3231201171875
816,Mn,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,1006.317138671875
817,Fe,As,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1410.7508544921875
818,Cr,O,Vac,Vac,40.0,60.0,0.0,0.0,2405.016845703125
819,Ba,Ca,Mo,O,20.0,10.0,10.0,60.0,1552.182861328125
820,Mn,As,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,1317.36572265625
821,V,Cr,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,780.6103515625
822,La,Mo,O,Vac,15.909090909090908,15.909090909090908,68.18181818181817,0.0,1249.1900634765625
823,Mn,Ni,O,Vac,6.666666666666667,40.0,53.333333333333336,0.0,1635.203125
824,W,O,Vac,Vac,25.0,75.0,0.0,0.0,1747.6737060546875
825,Ba,V,O,Vac,3.8461538461538463,38.46153846153847,57.692307692307686,0.0,1793.6771240234375
826,Ba,Nd,Mn,O,13.157894736842104,21.052631578947366,10.526315789473683,55.26315789473685,2065.878662109375
827,O,Mn,Ba,Sm,55.26315789473685,10.526315789473683,13.157894736842104,21.052631578947366,2047.2384033203125
828,Ba,V,Co,O,7.6923076923076925,15.384615384615385,15.384615384615385,61.53846153846154,1410.0889892578125
829,O,V,Sr,Vac,57.692307692307686,38.46153846153847,3.8461538461538463,0.0,1764.8697509765625
830,Sr,Cr,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1714.7711181640625
831,Yb,Fe,O,Vac,20.0,20.0,60.0,0.0,1992.547607421875
832,Tb,Co,O,Vac,20.0,20.0,60.0,0.0,2024.420166015625
833,Cd,In,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1506.1773681640625
834,Tb,Fe,O,Vac,20.0,20.0,60.0,0.0,1974.5772705078125
835,Zn,O,Vac,Vac,50.0,50.0,0.0,0.0,2112.383056640625
836,Mn,B,Pb,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,1009.3363037109375
837,Cr,W,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1134.9522705078125
838,Pb,O,Vac,Vac,50.0,50.0,0.0,0.0,1064.087158203125
839,Li,Cu,O,Vac,42.857142857142854,14.285714285714285,42.857142857142854,0.0,1157.5706787109375
840,Al,V,Mo,O,10.0,10.0,10.0,70.0,1145.883056640625
841,As,Pb,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1018.930908203125
842,Sm,Co,O,Vac,20.0,20.0,60.0,0.0,2073.7216796875
843,Fe,B,Pb,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,969.058349609375
844,Li,Co,As,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,1466.4530029296875
845,Li,Mn,As,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,1618.692138671875
846,Ca,Pb,O,Vac,20.0,20.0,60.0,0.0,1372.2545166015625
847,Pr,Co,O,Vac,20.0,20.0,60.0,0.0,2111.658935546875
848,Ba,Pb,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1435.449462890625
849,Ce,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,2535.87109375
850,Yb,Cu,O,Vac,22.22222222222222,22.22222222222222,55.55555555555556,0.0,1670.7635498046875
851,Mn,Ge,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1533.76708984375
852,Sm,Fe,O,Vac,20.0,20.0,60.0,0.0,2003.5234375
853,Na,Te,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,665.9444580078125
854,Ca,Pb,O,Vac,60.0,20.0,20.0,0.0,1461.99560546875
855,Fe,B,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1393.02001953125
856,In,Ag,O,Vac,25.0,25.0,50.0,0.0,1110.9688720703125
