,ID,Name,RF_500,RF_600,RF_700,RF_800,RF_900,RF_1000
0,mp-1018025,LuAgO2,1.9869471153846163,2.2880961538461544,2.5064038461538467,2.4801875000000004,3.25872596153846,3.839375000000002
1,mp-1018031,KInO2,6.081096153846151,6.081096153846151,6.081096153846151,6.081096153846151,6.081096153846151,6.081096153846151
2,mp-1021504,Ba2NbFeO6,1.7665865384615396,1.7665865384615396,1.7666682692307702,1.7666682692307702,1.7666682692307702,1.7666682692307702
3,mp-1024073,K2Sn3O7,6.012115384615379,6.0196730769230715,6.0196730769230715,6.037687499999995,6.041264423076919,6.053860576923072
4,mp-1025351,Sr4Bi2O,5.161591346153846,5.2086875,5.209692307692307,5.209692307692307,5.209692307692307,5.209692307692307
5,mp-10299,Ca4PdO6,5.839418269230767,5.839418269230767,5.849317307692305,5.849317307692305,5.849317307692305,5.849317307692305
6,mp-1035281,Mg14CoNiO16,3.7803365384615333,3.638548076923072,3.6604951923076876,3.602822115384611,3.580692307692303,3.5678365384615347
7,mp-1037086,LiMg30CoO32,3.5228990384615355,3.418552884615382,3.4284519230769206,3.346788461538459,3.3633846153846125,3.40032692307692
8,mp-10392,Sr3CdPtO6,6.212846153846156,6.0742548076923075,5.734620192307696,5.07285096153846,5.115177884615384,4.94026442307692
9,mp-1062939,CoO2,3.1950721153846167,2.8314182692307712,3.2914855769230775,2.3411201923076943,2.034264423076925,1.5268605769230774
10,mp-1072104,GeO2,3.6863990384615373,3.6863990384615373,3.6863990384615373,3.6863990384615373,3.6863990384615373,3.6863990384615373
11,mp-1075922,Sr7CaTi8O24,5.670326923076919,5.276163461538458,5.1879615384615345,5.010822115384613,4.831370192307691,4.16432692307692
12,mp-1075943,Ba3Sr5Ti8O24,5.174028846153842,4.734985576923074,4.552240384615384,4.430182692307692,3.4020336538461518,2.9542403846153813
13,mp-1076510,K5Na3Ta8O24,5.64462019230769,5.647956730769229,5.649576923076921,5.656014423076922,5.656014423076922,5.688966346153846
14,mp-1078191,Ba2TeO,4.829485576923074,4.829485576923074,4.829485576923074,4.829485576923074,4.829485576923074,4.829485576923074
15,mp-1078209,LiLa2FeO6,2.262379807692309,2.262379807692309,2.26246153846154,2.2547788461538474,2.2532548076923087,2.2532548076923087
16,mp-1078394,Ba2LuBiO6,1.4771298076923083,1.4771298076923083,1.4771298076923083,1.4786490384615392,1.465975961538462,1.4106730769230766
17,mp-1078397,LaBiS2O,3.72179326923077,5.499480769230766,5.876812499999998,6.177788461538464,6.190528846153841,6.489346153846152
18,mp-1078457,Ba2ZrTiO6,5.946394230769234,5.946721153846156,5.945120192307696,5.948966346153849,5.890682692307696,5.544024038461538
19,mp-1078539,Sr2MgMoO6,5.38657692307692,5.385759615384611,5.385759615384611,5.382822115384612,5.382822115384612,5.382822115384612
20,mp-1078542,GdZnAsO,1.6197307692307688,1.6197307692307688,1.6197307692307688,1.6197307692307688,1.6197307692307688,1.6197307692307688
21,mp-1078634,LaFeO3,2.3448798076923105,2.3448798076923105,2.3448798076923105,2.3338269230769257,2.3338269230769257,2.3358125000000025
22,mp-1079069,La2Mn2Se2O3,4.189802884615384,5.341100961538458,6.238586538461541,6.243120192307689,6.532048076923076,6.621581730769233
23,mp-1080730,Sr2ZrMnO6,5.52397115384615,5.52397115384615,5.52397115384615,5.52397115384615,5.52397115384615,5.524298076923073
