,ID,Name,MLP_500,MLP_600,MLP_700,MLP_800,MLP_900,MLP_1000,ID,Name,RF_500,RF_600,RF_700,RF_800,RF_900,RF_1000,ID,Name,XG_500,XG_600,XG_700,XG_800,XG_900,XG_1000
0,mp-1018025,LuAgO2,8.895135266215647,8.837258662463716,8.78430733587555,8.758434713416607,8.751260571842217,8.74417305271321,mp-1018025,LuAgO2,1.9869471153846163,2.2880961538461544,2.5064038461538467,2.4801875000000004,3.25872596153846,3.839375000000002,mp-1018025,LuAgO2,3.8283286,3.6520948,3.6520948,3.6413522,3.960519,4.028736
1,mp-1018031,KInO2,-7.197000566124559,-7.163604299474288,-7.141421178497391,-7.12537840430068,-7.115883554495191,-7.1114039248363845,mp-1018031,KInO2,6.081096153846151,6.081096153846151,6.081096153846151,6.081096153846151,6.081096153846151,6.081096153846151,mp-1018031,KInO2,5.7311807,5.7311807,5.7311807,5.7311807,5.7311807,5.7311807
2,mp-1021504,Ba2NbFeO6,1.7192943658564137,1.7247393129534418,1.7277691850816608,1.729085694016313,1.7291609057592847,1.728322750737859,mp-1021504,Ba2NbFeO6,1.7665865384615396,1.7665865384615396,1.7666682692307702,1.7666682692307702,1.7666682692307702,1.7666682692307702,mp-1021504,Ba2NbFeO6,1.1848997,1.1848997,1.1848997,1.1848997,1.1848997,1.1848997
3,mp-1024073,K2Sn3O7,-3.7168523533991618,-3.708115097854642,-3.703141470678595,-3.7011991190311595,-3.700092865115834,-3.6944329927135744,mp-1024073,K2Sn3O7,6.012115384615379,6.0196730769230715,6.0196730769230715,6.037687499999995,6.041264423076919,6.053860576923072,mp-1024073,K2Sn3O7,5.7597613,5.6481986,5.804696,5.804696,5.804696,5.772571
4,mp-1025351,Sr4Bi2O,-7.726474586610053,-7.557422789898926,-7.414577875833831,-7.293558753980442,-7.190631587664052,-7.102677241311095,mp-1025351,Sr4Bi2O,5.161591346153846,5.2086875,5.209692307692307,5.209692307692307,5.209692307692307,5.209692307692307,mp-1025351,Sr4Bi2O,5.189212,5.195758,5.195758,5.195758,5.195758,5.1479445
5,mp-10299,Ca4PdO6,11.816655269751111,11.918901945341952,11.999886544453208,12.062243634097968,12.108701858473436,12.14629696840572,mp-10299,Ca4PdO6,5.839418269230767,5.839418269230767,5.849317307692305,5.849317307692305,5.849317307692305,5.849317307692305,mp-10299,Ca4PdO6,5.9935904,6.0771556,6.183131,6.263522,6.2235947,6.2830515
6,mp-1035281,Mg14CoNiO16,4.642556388627013,4.607428054463054,4.58530902315042,4.569223799629974,4.558495106380514,4.555811344269458,mp-1035281,Mg14CoNiO16,3.7803365384615333,3.638548076923072,3.6604951923076876,3.602822115384611,3.580692307692303,3.5678365384615347,mp-1035281,Mg14CoNiO16,4.501652,4.6833754,4.6833754,4.6833754,4.6590657,4.6956525
7,mp-1037086,LiMg30CoO32,-0.5032792312159141,-0.4953728360085409,-0.47746363034738704,-0.45836520059204544,-0.43903882566518393,-0.41937422903944255,mp-1037086,LiMg30CoO32,3.5228990384615355,3.418552884615382,3.4284519230769206,3.346788461538459,3.3633846153846125,3.40032692307692,mp-1037086,LiMg30CoO32,4.562392,4.805123,4.88639,5.002538,4.96918,4.84666
8,mp-10392,Sr3CdPtO6,0.006971109867751027,0.0033244659007233973,0.019103169268352163,0.04377514037302767,0.060934332737356336,0.07627786650285297,mp-10392,Sr3CdPtO6,6.212846153846156,6.0742548076923075,5.734620192307696,5.07285096153846,5.115177884615384,4.94026442307692,mp-10392,Sr3CdPtO6,5.4470706,5.367487,5.176586,5.154615,5.179787,5.0126753
9,mp-1062939,CoO2,-0.2672001874542983,-0.24236298910302934,-0.2418500043551669,-0.25636839499846353,-0.26885985594697426,-0.26165637117657925,mp-1062939,CoO2,3.1950721153846167,2.8314182692307712,3.2914855769230775,2.3411201923076943,2.034264423076925,1.5268605769230774,mp-1062939,CoO2,2.5273504,2.3078425,2.2410815,2.0604956,2.0712383,2.2316904
10,mp-1072104,GeO2,2.6781881533649234,2.7246217436640108,2.771302728275615,2.81249194727291,2.849224546262049,2.8823279439009677,mp-1072104,GeO2,3.6863990384615373,3.6863990384615373,3.6863990384615373,3.6863990384615373,3.6863990384615373,3.6863990384615373,mp-1072104,GeO2,4.543705,4.771515,4.771515,4.771515,4.771515,4.771515
