,ID,Name,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence,DC1,PC2,SC4
30,mp-1099778,BaSr7Ti8O24,500,5.080075427,15.5769,183.675,112,1892831.079,1935100,7.36,0.96,0,0,4200,8,2,0,0.048,2.95,2,11.06140172,7.491676345,1712.007354
31,mp-1101257,Tm2Pt2O7,500,10.51294546,17.26195587,176.7272727,40,2502007.737,12793388.43,0.148760331,0.925619835,0.148760331,0.148760331,9500,2,2,1,1.029,3.54,1,13.57339423,1,1894.881252
32,mp-1101266,Tm2TeO2,500,9.021114465,15.10430292,192.8,16,909081.0855,16905600,0.24,0.96,0,0,9500,2,2,0,1.029,3.54,2,12.92879589,1,2020.666658
33,mp-1101457,Ni(BiO3)2,500,7.939632585,18.12111111,169.2222222,80,1136598.572,3888395.062,0.172839506,0.666666667,0,0,5300,3,3,0,0.942362,3.52,2,12.05674117,1.36512305,1497.731322
34,mp-1101518,Sn(PO3)3,500,2.787092723,18.69384615,163.4615385,62,424911.2761,600710.0592,0.390532544,0.390532544,0,0,2600,4,4,0,0.746607,5.82,2,14.55621164,0.556408091,734.3699328
35,mp-1101724,Nb10Pb14O39,500,7.686852521,16.98444444,173.5873016,204,3209703.882,8141153.943,3.324263039,1.507684555,0.133534895,0.133534895,8500,7,4,1,0.35674316,3.3,1,12.77714461,4.35280153,1938.221984
36,mp-11019,GaCuO2,500,6.043912089,16.0175,171.75,20,1782664.549,4226875,2.25,3.1875,0.1875,0.1875,5500,5,5,1,0.43,3.61,1,12.27328956,1.568413729,1396.673887
37,mp-1103865,BaFe2(PO4)2,500,4.320099295,17.23315385,173.2307692,60,1172229.497,870532.5444,0.982248521,0.982248521,0,0,3000,4,3,0,0.14462,2.87,2,12.39657924,2.372475798,1578.312013
38,mp-1104424,Ba8Sb4H2O,500,5.067318168,9.148533333,222.6666667,16,557181.6192,5390066.874,1.662222222,1.795555556,0.115555556,0.115555556,7900,3,3,1,0.14462,3.75,1,13.01574203,1.205326195,1718.109608
39,mp-1105,BaO2,500,5.391926599,15.977,190.6666667,4,735935.208,1388888.889,0.888888889,0.888888889,0,0,3000,2,2,0,0.14462,5.02,2,13.75073445,0.563002959,890.4727952
40,mp-1105484,Sm3FeO6,500,6.815661943,16.03577658,182.4,80,1244939.565,16308900,7.2,0.96,0,0,9500,8,2,0,0.151,2.87,2,12.84877668,1,2654.287715
41,mp-1105560,YCr4(CuO4)3,500,5.593903551,16.74555,173.4,60,2039631.479,4535500,4.8,0.96,0.2275,0.2275,9800,9,2,1,0.307,2.88,1,10.35466849,1.460724216,2505.140704
42,mp-1106068,LaCr4(CuO4)3,500,5.861162794,16.60276231,173.95,60,2068404.025,4295275,4.8,0.96,0.2275,0.2275,9500,9,2,1,0.47,2.88,1,10.9589856,1.149493756,2460.362831
43,mp-1106089,Ba2InGaO5,500,6.075770786,15.26722222,186.2222222,40,1158284.39,3015061.728,2.839506173,2.839506173,0,0,5500,5,5,0,0.14462,4.51,2,13.19528223,2.612807023,1186.377058
44,mp-1106241,BaTbMn2O5,500,6.487090003,15.51024258,185.6666667,50,1460869.362,7646172.84,2.839506173,0.987654321,0,0,9500,5,2,0,0.14462,3.6,2,10.21411895,3.068355377,1967.566625
45,mp-1106293,EuZrO3,500,6.853276927,15.77750011,182.8,84,3184286.905,12217600,7.36,0.96,0,0,9500,8,2,0,0.426,3.23,2,11.98096852,1,2162.168172
46,mp-1120752,K2Fe4O7,500,4.028677971,15.44307692,186.9230769,32,1685750.823,740591.716,1.171597633,0.99408284,0.130177515,0.130177515,2400,4,2,1,0.151,2.87,1,12.66483458,2.050364662,1465.454952
47,mp-1147642,Ba2NbBiO6,500,6.789525361,15.8822,187.3,22,2336409.606,6785600,3.36,1.05,0.09,0.09,8500,7,3,1,0.14462,3.3,1,12.11577433,1.740466029,2069.640087
48,mp-11649,Ca3SiO,500,2.580849714,10.2058,211,24,682046.773,2169600,2.56,2.56,0,0,4700,4,4,0,0.02455,5.43,2,14.39980266,2.218157312,840.9856545
