,ID,Name,XG_500,XG_600,XG_700,XG_800,XG_900,XG_1000
1098,mp-771712,Li2Fe3SbO8,2.6884048,2.6884048,2.6884048,2.6884048,2.6884048,2.6884048
1099,mp-771766,Nb3Co(PO4)6,1.8587908,1.976046,1.9394585,1.9394585,1.9394585,1.6493465
1100,mp-771816,Gd3NbO7,1.1359433,1.3717896,1.3717896,1.3717896,1.3717896,1.435403
1101,mp-771876,Li5NiO4,5.3874545,5.4678574,5.573434,5.5783787,5.310424,5.300869
1102,mp-772042,LiTiVO4,4.825613,4.9378333,5.070548,4.9894314,4.9894314,4.8868275
1103,mp-772047,V2SiO4,5.2388926,5.1011863,5.0779552,5.286942,5.1952415,5.2220387
1104,mp-772403,NbVO4,3.1003323,3.127758,3.127758,3.127758,3.127758,3.1700816
1105,mp-772410,Ti(SO4)2,2.356705,1.2873441,2.0566332,2.0947149,2.1750135,2.3463893
1106,mp-772578,Li2Mn3SnO8,5.577859,5.414655,5.4386716,5.4386716,5.4386716,5.4386716
1107,mp-772660,NbCrO4,1.4257947,1.4162487,1.4162487,1.4162487,1.4162487,1.4528354
1108,mp-772788,Ba2Cu2O5,4.653332,4.6367345,4.622131,4.486871,4.5173335,4.5173335
1109,mp-772797,Ti2Cu(PO4)3,1.3709522,1.9160813,2.2955809,2.257876,2.273293,2.6353786
1110,mp-772813,Ca2Cu2O5,5.6350694,5.6350694,5.6350694,5.653614,5.653614,5.7888556
1111,mp-772976,Li8Mn15NiO32,5.5925703,5.464539,5.392381,5.392381,5.392381,5.392381
1112,mp-773017,LiTi2(PO4)3,2.7641098,2.6727948,2.9512708,3.0843873,3.0802188,2.8882809
1113,mp-773047,KNb2PO8,4.3756995,4.464121,4.464121,4.464121,4.464121,4.5007076
1114,mp-773085,LiCoSbO4,-1.0350962,-0.9949497,-0.96711755,-0.9452436,-0.9452436,-0.9452436
1115,mp-773116,La20S29O,2.5866961,2.8139038,3.0405343,3.2967815,3.4045038,3.4595737
1116,mp-773843,LiTi2(PO4)3,2.7641098,2.6727948,2.9512708,3.0843873,3.0802188,2.8882809
1117,mp-773874,CuSb3(PO4)6,3.3446662,3.3446662,2.876782,2.9289,2.9289,2.9289
1118,mp-774246,Nb9VO25,2.5217586,2.4657593,2.4657593,2.533668,2.533668,2.5369782
1119,mp-774425,FeSb3(PO4)6,3.2058237,3.2058237,3.2058237,3.2058237,3.1568477,3.1993296
1120,mp-774472,PrSO,1.5663773,1.3845001,1.7473854,2.0361748,2.0324626,2.0807178
1121,mp-774583,Li2Fe3SbO8,2.737022,2.7275662,2.6867542,2.7202277,2.7202277,2.7202277
1122,mp-774586,Nb3Sb(PO4)6,3.148007,3.1407151,3.1407151,3.1407151,3.1041284,3.1041284
1123,mp-774715,Ba4LiNb3O12,0.67989475,1.4538399,1.4538399,1.4557258,1.4557258,1.4557258
1124,mp-774920,LiFeSbO4,2.9309964,2.9309964,2.9309964,2.9309964,2.9309964,2.9309964
1125,mp-774941,Li(NiO2)2,5.6949854,5.6949854,5.6949854,5.6949854,5.684297,5.684297
1126,mp-774951,Li2MnCr3O8,5.5782723,5.50664,5.4932833,5.5800614,5.5610986,5.614479
1127,mp-775149,Ti(SO4)2,2.356705,1.2873441,2.0566332,2.0947149,2.1750135,2.3463893
1128,mp-775161,Li2Ti3VO8,4.9429455,5.055166,5.1878805,5.1683087,4.932709,4.655498
1129,mp-775164,Li2NbCr3O8,4.196092,4.2282915,4.3600917,4.3923464,4.3923464,4.4210978
1130,mp-775217,CoSb3(PO4)6,2.415916,2.3793292,2.3793292,2.40808,1.907077,1.9591943
1131,mp-775865,Li2Ti3MnO8,4.570084,4.6093373,4.7215576,4.8558173,4.8137617,4.749849
1132,mp-776341,MnP6(WO8)3,2.9935176,2.9396493,3.0755782,3.1179228,3.3090522,3.4909012
1133,mp-777333,V2O3F,2.439112,2.592143,2.630225,2.6789186,2.771186,2.434203
1134,mp-777396,Li2Mn3FeO8,5.1909866,5.120899,5.0484037,5.1450496,5.1450496,5.337672
1135,mp-777452,LiNbCoO4,1.6592151,1.1822709,1.232216,1.669063,1.7237402,1.7685243
1136,mp-777460,MnPO4,3.7512155,3.7512155,3.7512155,3.7512155,3.7512155,3.7512155
1137,mp-777540,V2O3F,2.5787385,2.7317696,2.7698512,2.818545,2.9108124,2.8588636
1138,mp-777849,Nb3P6WO24,3.2023475,3.2023475,3.2023475,3.1657608,3.4035192,3.4035192
1139,mp-778152,Sc2Pt2O7,5.0957146,5.1291094,4.891446,4.85256,4.7896795,4.7564025
1140,mp-778877,Li5InO4,4.707786,4.707786,4.658518,4.68279,4.68279,4.738135
1141,mp-779156,CdSeO4,2.8430257,2.6171227,2.453669,2.2255657,2.2418566,1.7708646
1142,mp-779594,Zn2As2O7,2.657081,2.6717741,2.6913335,2.4880989,2.3803723,2.4108145
1143,mp-779898,Na6NiO4,5.074859,5.074859,5.074859,5.074859,5.074859,5.074859
1144,mp-780255,Gd3NbO7,1.062811,1.269391,1.269391,1.269391,1.269391,1.3330044
1145,mp-780493,Li8CrO6,4.817974,4.8730974,4.756854,4.610083,4.610083,4.610083
1146,mp-780570,Ti(SO4)2,2.458668,1.3893071,2.1585965,2.1966784,2.475154,2.646529
1147,mp-780572,P3(WO6)2,1.9826717,1.8099943,1.8676702,1.8676702,1.8439039,1.9536959
1148,mp-780573,Ca9Co(PO4)7,5.642129,5.218262,5.191235,5.2075624,5.2075624,5.0766153
1149,mp-782050,Ba4PdO6,5.2793317,5.2793317,5.2793317,5.2793317,5.2793317,5.2686434
1150,mp-7868,PtO2,3.9591837,4.1284943,4.1284943,4.0896072,4.0896072,4.0896072
1151,mp-7899,BaCdO2,6.305988,6.136264,6.151681,6.186223,5.711606,5.738843
1152,mp-7971,Ba4Li(SbO4)3,1.699018,1.699018,2.1838908,2.1838908,2.1414092,2.0686388
1153,mp-8098,InGaO3,6.415395,6.366127,6.366127,6.372673,6.372673,6.372673
1154,mp-8109,EuB4O7,4.610467,4.7343354,4.6823435,5.06598,4.9568114,4.939
1155,mp-8207,Zn(PtO2)3,3.8988543,3.8988543,3.9519458,3.4183068,2.8984582,2.6818507
1156,mp-8208,Mg(PtO2)3,4.872555,5.027393,5.027393,5.027393,4.9218163,4.8313413
1157,mp-821,NbO2,2.28953,2.3054118,2.3054118,2.415115,2.415115,2.461061
1158,mp-8212,Cd(PtO2)3,4.385309,4.385309,4.385309,4.408505,4.3945284,4.410747
1159,mp-8298,Sr4P2O,5.2677274,5.2677274,5.2677274,5.2035637,5.2462735,5.37075
1160,mp-8299,Sr4As2O,5.077936,5.077936,5.102721,5.0622478,5.068794,5.068794
1161,mp-8300,Ba4As2O,4.8681993,4.8681993,4.8681993,4.8681993,4.8681993,4.8681993
1162,mp-8382,CePO4,5.470721,6.0480504,6.030239,6.249322,6.249322,6.249322
1163,mp-841,Li2O2,5.034548,5.034548,5.034548,5.034548,5.034548,5.157297
1164,mp-849362,Na14Co2O9,3.626297,3.6170962,3.629476,3.4053214,3.4053214,3.319098
1165,mp-850189,LiVSnO4,4.735414,4.97823,5.1388745,5.0466247,4.6756225,4.726333
1166,mp-850287,Na6(NiO2)7,5.9306936,5.9306936,5.9306936,5.9306936,5.9306936,5.9306936
1167,mp-850923,TiV(PO4)2,2.2605965,2.2272146,2.6385689,2.619222,2.427284,2.427284
1168,mp-8514,BaNd2PdO5,2.9977272,3.019398,3.143329,3.244818,3.695804,3.6483128
1169,mp-8515,BaSm2PdO5,3.260131,3.825936,3.7285357,3.910773,3.8553412,3.9415646
1170,mp-856,SnO2,4.301348,4.301348,4.301348,4.301348,4.301348,4.301348
1171,mp-8568,Ca4PtO6,5.454541,5.443853,5.479474,5.4889293,5.4889293,5.4889293
1172,mp-8610,Li8PtO6,5.180672,5.2986083,5.5753703,5.5860586,5.5860586,5.5860586
1173,mp-8615,NbBO4,3.1334598,3.094129,3.094129,3.1452942,3.1452942,3.1120174
1174,mp-863066,Ta6Pb4O19,5.112531,5.182342,5.1616697,5.2363973,4.9176817,5.0414333
1175,mp-863435,Co3(AsO4)2,1.4824216,1.3913429,1.234122,1.244865,0.57527137,0.7426481
1176,mp-863678,KZn4(SbO4)3,-1.6376386,-1.720429,-1.7550752,-1.8675652,-1.7967234,-1.8018408
1177,mp-865213,Ba8Bi4H2O,3.7534363,4.271664,4.2894483,4.27876,4.27876,4.346654
1178,mp-865500,Na2Hf2O5,2.9658492,3.1948874,3.1320562,3.1415117,3.2610836,3.2610836
1179,mp-865532,BaMgTe2O7,3.8374906,3.8070147,3.5252283,3.5252283,3.476973,3.3225799
1180,mp-865758,YbGeO3,4.09998,4.3724265,4.493488,4.5884213,4.5884213,4.4979463
1181,mp-867300,Rb2Hf2O5,4.352554,4.352554,4.352554,4.5770974,4.73708,4.73708
1182,mp-867611,Mn11ZnO16,4.547248,4.337677,4.0713663,3.9246957,3.6442783,3.681038
1183,mp-867693,CoPO4,2.0553763,2.2271502,2.2942371,2.4893093,2.676281,2.5207963
1184,mp-867752,Na3CoO3,3.4371054,3.4197552,3.2079804,3.121757,3.1749465,3.0201445
1185,mp-8710,Ca2Pt3O8,4.190184,4.239935,4.3469496,4.3469496,4.3469496,4.3469496
1186,mp-8727,Ba4PtO6,4.9975686,4.8906984,4.8906984,4.9535294,4.9535294,4.9535294
1187,mp-8789,Ca4As2O,5.354506,5.354506,5.3037148,5.329356,5.329356,5.329356
1188,mp-891956,Ca10V6O25,6.0027285,5.9487557,6.045693,6.17939,6.1752214,6.0893784
1189,mp-8922,Cd(SbO3)2,0.63206923,0.66771305,0.66771305,0.59566426,0.59566426,0.632251
1190,mp-9160,La4Au2O9,3.0384223,3.0477169,3.2489095,3.2096965,3.29592,3.3734684
1191,mp-9194,SmCuSeO,0.6462806,1.4749669,1.4214526,1.41071,1.41071,1.5121988
1192,mp-9216,Ca3Tl2O6,4.6360216,4.6360216,4.6360216,4.6360216,4.6360216,4.6360216
1193,mp-9297,Ba(AuO2)2,6.371466,6.371466,6.371466,6.36492,6.4099097,6.378237
1194,mp-9298,Sr(AuO2)2,6.061369,6.0998526,5.947247,5.947247,5.9418473,5.9418473
1195,mp-9518,NdZnPO,-1.4327909,-1.3129865,-1.3129865,-1.3129865,-1.5355221,-1.4989356
1196,mp-9702,Sr3BPO3,5.388009,5.388009,5.388009,5.388009,5.388009,5.388009
1197,mp-9712,Ba3BPO3,4.736769,4.736769,4.736769,4.736769,4.736769,4.687501
1198,mp-9745,Ba3NaRuO6,2.969976,2.7939036,2.797615,2.5061784,2.6416848,2.3012683
1199,mp-975646,PrZnSbO,0.6037532,0.6275377,0.6275377,0.6275377,0.6275377,0.5922079
1200,mp-9759,BaPr2PdO5,2.416263,2.3852246,2.4867136,2.906136,2.883817,3.0433686
1201,mp-9760,BaTb2PdO5,3.7334552,3.5908058,4.011465,4.3283157,4.2784066,4.277511
1202,mp-9765,Nd2Pt2O7,2.9943259,2.9911444,2.9188077,3.3999448,3.3887947,3.339299
1203,mp-9774,Ba4Sb2O,4.107259,3.9562328,3.9609506,4.2308364,4.5830007,4.554501
1204,mp-978857,SrHgO2,4.217439,4.217439,4.2705317,4.3118777,3.7395637,3.8023958
1205,mp-9793,Ba3BAsO3,4.5054326,4.5054326,4.5054326,4.5054326,4.5054326,4.5054326
1206,mp-9799,Yb4As2O,2.4236028,2.553974,2.6620736,2.748297,2.883849,2.9901292
1207,mp-983603,ErZnAsO,0.70891464,0.82372177,0.95730865,0.8746691,0.9182261,1.119373
1208,mvc-10056,CaCr2P2O9,6.1615214,6.184923,6.221022,5.698082,5.8817115,5.785466
1209,mvc-10096,CaFe2P2O9,5.678001,5.439369,5.439369,5.462771,4.786593,4.97593
1210,mvc-10106,MgV2O4,5.9891615,5.855051,5.814954,5.8394403,5.964969,5.964969
1211,mvc-11733,La2MgVO6,-0.70994043,-0.50981665,-0.40208972,-0.45800585,-0.45800585,-0.2807588
1212,mvc-12183,Mg(NiO2)2,4.740533,4.740533,4.740533,4.740533,4.6195316,4.687554
1213,mvc-12912,Y2Cr3O12,2.7360134,2.7360134,2.769271,2.792632,2.7499595,3.226903
